CP/DL/AG,ESTADO,LTA Nº/ANO/OM,EMBARCAÇÃO,DATA DO INCIDENTE,LOCALIZAÇÃO,"VOLUME DERRAMADO 
(em litros)",TIPO DE ÓLEO MÃE,PAÍS DE BANDEIRA,Nº DE INSCRIÇÃO OU N° IMO,INFRATOR,"NÍVEL DE
IMPACTO
AMBIENTAL","CAUSA DO
INCIDENTE","Valor da Multa
(1º instância)","Número do
Auto de infração","Andamento do
processo no SISAUTO",,Legenda,
CPRJ,RJ,004/2024,TOP CORAL DO ATLANTICO,20/11/2020,"TPAR, em Angra dos Reis – RJ, especificamente nas coordenadas LAT 23º00,6’S e LONG 044º18,9’O",1,OLEO HIDRAULICO,Brasil,Nº inscrição 381E010414,TECHNIP BRASIL-ENGENHARIA INSTALAÇÕES APOIO MARITIMO,1,7,"R$ 3.450,00",,,,ABASTECIMENTO (BUNKERING) / TRANSFERÊNCIA DE ÓLEO / RESÍDUO,8
CPES,ES,020/2023,Parcel das Timbebas,07/10/2021,"Área de atracação do Porto da ZEMAX, Vitória – ES, nas coordenadas geográficas 20°19’15”S; 040°18’19”O","0,3",OLEO HIDRAULICO,Brasil,Nº inscrição 3810514951,OCEANPACT SERVIÇOS MARÍTMOS S.A,1,7,"R$ 1.135,00",,,,NAUFRÁGIO,9
CPES,ES,006/2024,GREAT SEA,21/01/2022,"Berço 102 do Portocel, Aracruz – ES, especificamente nas coordenadas geográficas 19º50’27,22”S; LONG 040º03’27,24”O","0,01",OLEO HIDRAULICO,Bahamas,Nº IMO 9423566,G2 OCEAN BRASIL LTDA,1,7,"R$ 1.503,00",,,,OUTROS,10
CPES,ES,012/2024,ZATTO,08/04/2020,"Prainha da Glória, Vila Velha - ES / LAT 20°19'38""S e LONG 040°18'26""O",2,OLEO LUBRIFICANTE,Brasil,Nº inscrição 3877052274,AQUA PORT SERVIÇOS MARÍTIMOS LTDA,1,9,"R$ 1.300,00",,,,DESCONHECIDO,11
CPES,ES,020/2024,MARINA NETA,05/08/2020,"a cerca de 6 milhas náuticas a sudeste da Barra de Santa Cruz, Aracruz – ES, especificamente nas coordenadas LAT 19°59,615'S LONG 040°01,848'O",60,OLEO DIESEL,Brasil,Nº inscrição 4430086834,MARIA APARECIDA DO SACRAMENTO,1,5,Processo em andamento.,,,,,
CPES,ES,024/2024,SKANDI AÇU,04/05/2021,"Rio Santa Maria, no porto de Vitória, na cidade de mesmo nome – ES, mais especificamente nas coordenadas geográficas 20°19’27.701”S; 040°20’46.372”O","0,2",OLEO HIDRAULICO,Noruega,Nº inscrição 381E010902,NORSKAN OFFSHORE LTDA,1,7,"R$ 4.770,00",,,,,
AgSJBarra,RJ,022/2023,SANTOS SERVICE,16/01/2020,"Atracada ao no Porto do Açu, São João da Barra – RJ, nas coordenadas geográficas 21°51’49”S; 041°01’02”O",5,OLEO DIESEL,Brasil,Nº inscrição 4430474834,BRAM OFFSHORE TRANSPORTES MARÍTIMOS LTDA,1,8,"R$ 5.250,00",,,,,
AgSJBarra,RJ,025/2023,BATUÍRA,30/12/2021,"Atracada ao SLIP 1 do Porto do Açu, São João da Barra – RJ, nas coordenadas geográficas 21°51’53”S; 041°00’58”O",40,OLEO DIESEL,Brasil,Nº inscrição 3813886140,WILSON SONS OFFSHORE S/A,2,8,"R$ 22.500,00",,,,,
AgSJBarra,RJ,002/2024,MAR LIMPO III,03/07/2020,"Terminal B-Port, localizado no Canal do Terminal T2 do Porto do Açu / LAT 22°022,41’S e LONG 041º45,43’W",3,OLEO DIESEL,Brasil,Nº inscrição 3813887294,BRASBUNKER PARTICIPAÇÕES S.A.,1,8,"R$ 1.450,00",,,,,
AgSJBarra,RJ,008/2024,CBO CAROLINA,24/12/21,"Porto do Açu, São João da Barra – RJ, especificamente nas coordenadas LAT 21º51’53”S e LONG 041º00’58”O",1,OLEO DIESEL,Brasil,Nº inscrição 3813872688,CBO SERVIÇOS MARÍTIMOS S/A,1,8,"R$ 1.725,00",,,,,
AgSJBarra,RJ,013/2024,SEVEN SUN,11/08/2020,"Cais da empresa Technip, localizado no Porto do Açu, São João da Barra – RJ, especificamente nas coordenadas LAT 21º52’12”S e LONG 041º00’44”O","0,02",OLEO HIDRAULICO,Brasil,Nº inscrição,Starnav Serviços Marítimos LTDA,1,8,"R$ 4.509,00",,,,,
AgSJBarra,RJ,014/2024,BOS TURQUESA,16/10/20,"Terminal B-Port, localizado no Porto do Açu, São João da Barra – RJ, especificamente nas coordenadas LAT 21º52’00”S e LONG 041º00’55”O","0,5",OLEO DIESEL,Brasil,Nº inscrição 381-051792-5,SOLSTAD SHIPPING LTDA,1,8,"R$ 1.612,50",,,,,
AgSJBarra,RJ,018/2024,LOCAR LH XXIII,01/12/20,"Terminal B-Port, localizado no Porto do Açu, São João da Barra – RJ, especificamente nas coordenadas geográficas 21º52’00”S; 041º00’55”O","2,5",OLEO DIESEL,Brasil,Nº inscrição 3813891267,LOCAR G E TRANSP INTERMODAIS SA,1,8,"R$ 1.075,00",,,,,
DelItacuruca,RJ,031/2023,Pai Glorioso,12/08/2022,"cais privado na Ilha da Madeira, localizada na Baía de Sepetiba, município de Itaguaí ‒ RJ, especificamente nas coordenadas geográficas 22°54’59”S; 043°51’01”O",10,OLEO DIESEL,Brasil,Nº inscrição 3813906604,PEDRO HENRIQUE,1,9,Processo em andamento.,,,,,
DelItacuruca,RJ,001/2024,GOLDEN ENDURER,31/07/2020,"Proximidades do terminal Ternium, em Itaguaí – RJ, especificamente nas coordenadas geográficas 22°57’12”S; 043°47’25”O","0,5",OLEO HIDRAULICO,Libéria,Nº IMO 9481465,SEASHORE SOLUTIONS COMÉRCIO E SERVIÇO MARÍTIMO,1,7,"R$ 1.850,00",,,,,
DelItacuruca,RJ,015/2024,CMA CGM MAUPASSANT,03/12/2020,"Porto de Itaguaí, na Ilha da Madeira, localizada nos limites da baía de Sepetiba, em Itaguaí – RJ, especificamente nas coordenadas LAT 22°55,9’S e LONG 043°50,5’O",526,OLEO COMBUSTIVEL,Malta,Nª IMO 9409209,CMA CGM INTERNATIONAL SHIPPING COMPANY PTE LTD,3,5,"R$ 197.250,00",,,,,
