"#","Ano","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez"
"1","2019","70561.17097306997","28051.76518023014","54132.093186602","127464.16400492191","128482.8653364107","251154.24454279244","174608.6979001835","127650.4638010934","101775.11961074919","51452.22002197802","58898.336603835225","41373.16416309774"
"2","2020","338737.69774047285","79785.618529208","89309.5985269621","134110.26192566007","128170.78203625232","205514.48679685593","155558.9890678525","145869.06145492196","137734.50651445985","100278.68942577392","57461.047231152654","65885.67487645149"
"3","2021","65225.99177630246","70708.6651918441","173932.0897928998","168374.55534724146","224378.90848863125","180489.86735607684","329725.71575169265","236742.43396051228","147868.81784908473","88976.37809859961","80341.14371248335","57738.44807444513"
"4","2022","118717.04643626511","113403.36602843925","202058.00559885427","157961.1135636866","276188.69654297084","239293.41611672193","204766.52657741308","260178.81995396316","190817.93282011896","124149.69729391485","111331.92144295573","113634.21425899118"
"5","2023","150937.22527578473","189361.53370369226","135700.3204429224","222766.00508794188","245651.29512301087","187875.030621849","157373.49210330844","131157.25971522182","136535.4088628292","103391.62080802023","102827.78492707014","72500.45440643281"
"6","2024","72180.16577513516","102495.78832393885","89359.6967034936","121989.91214251518","161398.01955537498","129998.86642702669","114420.77656878531","97804.26615487039","2294.437633857131","542.7288999557495","",""
